"Hourly Sales Breakdown By Order Mode"
"Date: 3/9/2017"

"Hour","Sales($)","Broomfield","Louisville","om2","om3","om4"
"Open - 11am","0.00","0.00","0.00","0.00","0.00","0.00"
"11 am - 12 pm","0.00","0.00","0.00","0.00","0.00","0.00"
"12 - 1 pm","0.00","0.00","0.00","0.00","0.00","0.00"
"1 - 2 pm","0.00","0.00","0.00","0.00","0.00","0.00"
"2 - 3 pm","0.00","0.00","0.00","0.00","0.00","0.00"
"3 - 4 pm","0.00","0.00","0.00","0.00","0.00","0.00"
"4 - 5 pm","400.00","400.00","0.00","0.00","0.00","0.00"
"5 - 6 pm","201.00","0.00","0.00","0.00","201.00","0.00"
"6 - 7 pm","400.80","0.00","0.00","0.00","400.80","0.00"
"7 - 8 pm","0.00","0.00","0.00","0.00","0.00","0.00"
"8 - 9 pm","0.00","0.00","0.00","0.00","0.00","0.00"
"9 - 10 pm","0.00","0.00","0.00","0.00","0.00","0.00"
"10 - 11 pm","0.00","0.00","0.00","0.00","0.00","0.00"
"11 pm - 12 am","0.00","0.00","0.00","0.00","0.00","0.00"
"12 - 1 am","1,714.20","0.00","714.00","200.00","0.00","800.20"
"1 - 2 am","0.00","0.00","0.00","0.00","0.00","0.00"
"2 am - Close","0.00","0.00","0.00","0.00","0.00","0.00"
